ID,AGENCY_CODE,PROJ_CODE,S_ID,O_ID,H_NO,O_LATITUDE_GDA,O_LONGITUDE_GDA,O_WA_SOILGRP_CODE,H_TEXTURE,P_HCO3_,P_HCO3_1,P_HCO3_2,P_HCO3_3,P_HCO3_4,P_any_,P_buff_,P_buff_1,P_buff_2,P_buffany,ENT_DESC,PROP_DESC,LAND_USE_DESCRIPTION,LU_SEL
501_DAN_0422_1,501,DAN,0422,1,3,-31.113113,116.080035,303,FSCL,2,,,,,2,,,,,Agricultural,Rural,,2
501_DAN_0422_1,501,DAN,0422,1,4,-31.113113,116.080035,303,FSCL,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0423_1,501,DAN,0423,1,4,-31.096939,116.088191,303,LC,1,,,,,1,,,,,Agricultural,Rural,CATTLE,2
501_DAN_0423_1,501,DAN,0423,1,3,-31.096939,116.088191,303,CL,1,,,,,1,,,,,Agricultural,Rural,CATTLE,2
501_DAN_0423_1,501,DAN,0423,1,1,-31.096939,116.088191,303,FSL,40,,,,,40,,,,,Agricultural,Rural,CATTLE,2
501_DAN_0423_1,501,DAN,0423,1,2,-31.096939,116.088191,303,GR,4,,,,,4,,,,,Agricultural,Rural,CATTLE,2
501_DAN_0423_1,501,DAN,0423,1,4,-31.096939,116.088191,303,LC,1,,,,,1,,,,,Agricultural,Rural,SHEEP FOR WOOL,2
501_DAN_0423_1,501,DAN,0423,1,3,-31.096939,116.088191,303,CL,1,,,,,1,,,,,Agricultural,Rural,SHEEP FOR WOOL,2
501_DAN_0423_1,501,DAN,0423,1,1,-31.096939,116.088191,303,FSL,40,,,,,40,,,,,Agricultural,Rural,SHEEP FOR WOOL,2
501_DAN_0423_1,501,DAN,0423,1,2,-31.096939,116.088191,303,GR,4,,,,,4,,,,,Agricultural,Rural,SHEEP FOR WOOL,2
501_DAN_0837_1,501,DAN,0837,1,1,-30.311064,115.572895,403,LFS,10,,,,,10,,,,,Agricultural,Rural,WHEAT,2
501_DAN_0837_1,501,DAN,0837,1,2,-30.311064,115.572895,403,LFS,15,,,,,15,,,,,Agricultural,Rural,WHEAT,2
501_DAN_0837_1,501,DAN,0837,1,3,-30.311064,115.572895,403,FSCL,39,,,,,39,,,,,Agricultural,Rural,WHEAT,2
501_DAN_0837_1,501,DAN,0837,1,4,-30.311064,115.572895,403,FSCL,2,,,,,2,,,,,Agricultural,Rural,WHEAT,2
501_DAN_0837_1,501,DAN,0837,1,5,-30.311064,115.572895,403,SLC,1,,,,,1,,,,,Agricultural,Rural,WHEAT,2
501_DAN_0837_1,501,DAN,0837,1,1,-30.311064,115.572895,403,LFS,10,,,,,10,,,,,Agricultural,Rural,OTHER GRAIN CROPS,2
501_DAN_0837_1,501,DAN,0837,1,2,-30.311064,115.572895,403,LFS,15,,,,,15,,,,,Agricultural,Rural,OTHER GRAIN CROPS,2
501_DAN_0837_1,501,DAN,0837,1,3,-30.311064,115.572895,403,FSCL,39,,,,,39,,,,,Agricultural,Rural,OTHER GRAIN CROPS,2
501_DAN_0837_1,501,DAN,0837,1,4,-30.311064,115.572895,403,FSCL,2,,,,,2,,,,,Agricultural,Rural,OTHER GRAIN CROPS,2
501_DAN_0837_1,501,DAN,0837,1,5,-30.311064,115.572895,403,SLC,1,,,,,1,,,,,Agricultural,Rural,OTHER GRAIN CROPS,2
501_DAN_0837_1,501,DAN,0837,1,1,-30.311064,115.572895,403,LFS,10,,,,,10,,,,,Agricultural,Rural,SHEEP,2
501_DAN_0837_1,501,DAN,0837,1,2,-30.311064,115.572895,403,LFS,15,,,,,15,,,,,Agricultural,Rural,SHEEP,2
501_DAN_0837_1,501,DAN,0837,1,3,-30.311064,115.572895,403,FSCL,39,,,,,39,,,,,Agricultural,Rural,SHEEP,2
501_DAN_0837_1,501,DAN,0837,1,4,-30.311064,115.572895,403,FSCL,2,,,,,2,,,,,Agricultural,Rural,SHEEP,2
501_DAN_0837_1,501,DAN,0837,1,5,-30.311064,115.572895,403,SLC,1,,,,,1,,,,,Agricultural,Rural,SHEEP,2
