"","X1","X2","X3","X4","X5","X6"
"438",1006,100,100,100,100,"Brown-Orthic Podosol"
"439",1007,100,100,100,100,"Semiaquic Podosol"
"440",1008,100,100,100,100,"Aeric Podosol"
"441",1009,100,100,100,100,"Yellow Podosol"
"442",1010,100,100,100,100,"Oxyaquic Podosol"
"443",1011,100,100,100,100,"Brown-Orthic Podosol"
"444",1012,100,100,100,100,"Arenic Podosol"
"445",1013,100,100,100,100,"Clastic Podosol"
"446",1014,100,100,100,100,"Grey Podosol"
"447",1015,100,100,100,100,"Black Podosol"
"448",1016,100,100,100,100,"Shelly Podosol"
"449",1017,100,100,100,100,"Redoxic Podosol"
"450",1018,100,100,100,100,"Grey-Orthic Podosol"
"451",1019,100,100,100,100,"Stratic Podosol"
"452",1020,100,100,100,100,"Spolic Podosol"
"453",1021,100,100,100,100,"Aquic Podosol"
"454",1022,100,100,100,100,"Chernic-Leptic Podosol"
"455",1023,100,100,100,100,"Lutic Podosol"
"456",1024,100,100,100,100,"Supratidal Podosol"
"457",1025,100,100,100,100,"Extratidal Podosol"
"458",1026,100,100,100,100,"Hemic Podosol"
"459",1027,100,100,100,100,"Sapric Podosol"
"460",1028,100,100,100,100,"Fibric Podosol"
"461",1029,100,100,100,100," Bleached-Leptic Podosol"
"462",1030,100,100,100,100,"Red-Orthic Podosol"
"463",1031,100,100,100,100,"Salic Podosol"
"464",1032,100,100,100,100,"Hypersalic Podosol"
"465",1033,100,100,100,100,"Calcic Podosol"
"466",1034,100,100,100,100,"Hypocalcic Podosol"
"467",1035,100,100,100,100,"Hortic Podosol"
"468",1036,100,100,100,100,"Dredgic Podosol"
"469",1037,100,100,100,100,"Black-Orthic Podosol"
"470",1038,100,100,100,100,"Cumulic Podosol"
"471",1039,100,100,100,100,"Urbic Podosol"
"472",1040,100,100,100,100,"Carbic Podosol"
"473",1041,100,100,100,100,"Hypercalcic Podosol"
"474",1042,100,100,100,100,"Scalpic Podosol"
"475",1043,100,100,100,100,"Lithocalcic Podosol"
"476",1044,100,100,100,100,"Calcenic Podosol"
"477",1045,100,100,100,100,"Supracalcic Podosol"
"478",1046,100,100,100,100,"Hypergypsic Podosol"
"479",1047,100,100,100,100,"Sesqui-Nodular Podosol"
"480",1048,100,100,100,100,"Garbic Podosol"
"481",1101,100,100,100,100,"Red Rudosol"
"482",1102,100,100,100,100,"Brown Rudosol"
"483",1103,100,100,100,100,"Leptic Rudosol"
"484",1104,100,100,100,100,"Bleached-Orthic Rudosol"
"485",1105,100,100,100,100,"Chernic Rudosol"
"486",1106,100,100,100,100,"Brown-Orthic Rudosol"
"487",1107,100,100,100,100,"Semiaquic Rudosol"
"488",1108,100,100,100,100,"Aeric Rudosol"
"489",1109,100,100,100,100,"Yellow Rudosol"
"490",1110,100,100,100,100,"Oxyaquic Rudosol"
"491",1111,100,100,100,100,"Brown-Orthic Rudosol"
"492",1112,100,100,100,100,"Arenic Rudosol"
"493",1113,100,100,100,100,"Clastic Rudosol"
"494",1114,100,100,100,100,"Grey Rudosol"
"495",1115,100,100,100,100,"Black Rudosol"
"496",1116,100,100,100,100,"Shelly Rudosol"
"497",1117,100,100,100,100,"Redoxic Rudosol"
"498",1118,100,100,100,100,"Grey-Orthic Rudosol"
"499",1119,100,100,100,100,"Stratic Rudosol"
"500",1120,100,100,100,100,"Spolic Rudosol"
"501",1121,100,100,100,100,"Aquic Rudosol"
"502",1122,100,100,100,100,"Chernic-Leptic Rudosol"
"503",1123,100,100,100,100,"Lutic Rudosol"
"504",1124,100,100,100,100,"Supratidal Rudosol"
"505",1125,100,100,100,100,"Extratidal Rudosol"
"506",1126,100,100,100,100,"Hemic Rudosol"
"507",1127,100,100,100,100,"Sapric Rudosol"
"508",1128,100,100,100,100,"Fibric Rudosol"
"509",1129,100,100,100,100," Bleached-Leptic Rudosol"
"510",1130,100,100,100,100,"Red-Orthic Rudosol"
"511",1131,100,100,100,100,"Salic Rudosol"
"512",1132,100,100,100,100,"Hypersalic Rudosol"
"513",1133,100,100,100,100,"Calcic Rudosol"
"514",1134,100,100,100,100,"Hypocalcic Rudosol"
"515",1135,100,100,100,100,"Hortic Rudosol"
"516",1136,100,100,100,100,"Dredgic Rudosol"
"517",1137,100,100,100,100,"Black-Orthic Rudosol"
"518",1138,100,100,100,100,"Cumulic Rudosol"
"519",1139,100,100,100,100,"Urbic Rudosol"
"520",1140,100,100,100,100,"Carbic Rudosol"
"521",1141,100,100,100,100,"Hypercalcic Rudosol"
"522",1142,100,100,100,100,"Scalpic Rudosol"
"523",1143,100,100,100,100,"Lithocalcic Rudosol"
"524",1144,100,100,100,100,"Calcenic Rudosol"
"525",1145,100,100,100,100,"Supracalcic Rudosol"
